,SZ,SZ,SZ,DEL16p11_2,DEL16p11_2,DEL16p11_2
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
49,1.3758163188055789e-05,0.1930051034635865,81.10236220472441,0.23214168048207806,66.66666666666666,0.0016089649288138922
50,9.87624425536375e-05,0.27403213703236456,75.59055118110236,0.4825872024118613,50.0,0.0002086563120475047
51,2.4871529667294433e-05,0.2494553036492058,77.95275590551181,0.23280686884793178,75.0,0.00047100589829620373
52,4.3165223811012615e-05,0.22987056626750685,74.80314960629921,0.10991899970379786,75.0,0.009905229273147189
53,0.0001604498165200074,0.23191906611193452,81.88976377952756,0.11776176378985297,75.0,0.458074102958449
54,0.00023275024185623856,0.32089898573761405,70.07874015748031,0.6197822031623583,33.33333333333333,0.0025877855782461628
55,0.028504586260260836,0.19064366577288805,81.88976377952756,0.18564219444491278,50.0,0.015282481925847927
56,2.7535546000323106e-05,0.2522188209836355,79.52755905511812,0.29317673589536425,58.333333333333336,0.001103181825312416
57,5.220695731930977e-05,0.24349042012282943,74.01574803149606,0.44865706596952065,50.0,4.339405207045585e-05
58,0.0004754936520877143,0.23384595490616555,74.80314960629921,0.2604097493835867,66.66666666666666,0.0008074258191753303
59,8.045238502651412e-06,0.30026282223849254,74.01574803149606,0.5222249828244016,50.0,0.00013092382383223734
60,1.6692027313629513e-05,0.20711913712846933,80.31496062992126,0.21521254770686507,66.66666666666666,0.0005889681892159366
61,0.0002371259848082072,0.21481284907382392,81.88976377952756,0.31648009578463765,66.66666666666666,7.647534759967479e-07
62,7.240706615331529e-05,0.2302852450905771,80.31496062992126,0.2627743122156511,50.0,2.899577165809124e-05
63,1.3328197283080834e-06,0.23682328357619017,80.31496062992126,0.2973716212487611,50.0,6.575966033961695e-05
64,2.7960701037795438e-05,0.23743435241544503,81.88976377952756,0.24788420252187007,50.0,7.535344938695978e-06
65,4.080391975803084e-06,0.2519289469289139,79.52755905511812,0.2737747567435943,50.0,0.0001020154978900268
66,6.118647259121625e-05,0.254014821536711,79.52755905511812,0.3313375347901692,50.0,0.00018109866891199487
67,2.4336382342465246e-06,0.25786947225156676,80.31496062992126,0.34567228994277627,50.0,2.5056482269462828e-05
68,8.264037641777869e-06,0.2742730313026406,81.10236220472441,0.35648092844167295,58.333333333333336,1.007339478744331e-05
69,8.382038773426499e-07,0.28483840413381123,81.10236220472441,0.41573731382081247,58.333333333333336,4.919870329409278e-06
70,4.5645973163051426e-05,0.29930696229586046,79.52755905511812,0.4739404123838626,58.333333333333336,7.02260713541569e-06
71,8.042771825532355e-07,0.3046069084021678,80.31496062992126,0.3842256296094277,58.333333333333336,1.1717350285662877e-05
72,9.832506510322478e-06,0.31261205501747996,79.52755905511812,0.44819306665212455,58.333333333333336,4.414116489128946e-06
73,3.505364148463594e-08,0.3155211011940188,80.31496062992126,0.32204452795641714,58.333333333333336,1.8069293150032426e-05
74,6.400062025362346e-06,0.3262675981503662,81.10236220472441,0.4623144760266018,58.333333333333336,7.732208761218567e-07
75,2.287973077776034e-08,0.33407901378888877,80.31496062992126,0.4192056148892515,58.333333333333336,2.6815021146354245e-06
76,3.763133351729523e-08,0.3349144121887515,81.10236220472441,0.5333162443499004,58.333333333333336,5.5593822232636425e-08
77,8.374829580463563e-08,0.3332846002254739,80.31496062992126,0.3434740278489663,58.333333333333336,1.5998756501666206e-06
78,5.880189915677958e-09,0.3363703085024325,81.10236220472441,0.5093844766303356,58.333333333333336,5.458572881088788e-06
79,5.594712103432762e-08,0.33879316223998346,80.31496062992126,0.5099657614776737,58.333333333333336,4.631896738330056e-06
80,1.5672976316515255e-08,0.3500235871129193,80.31496062992126,0.48576603081097364,58.333333333333336,2.535934232478392e-06
81,2.2656156920699784e-07,0.36687983363864596,80.31496062992126,0.5623114162187428,58.333333333333336,9.442762516678253e-09
82,5.7400180022763424e-08,0.37065931582074874,80.31496062992126,0.43601207757801386,58.333333333333336,1.0511578810283857e-09
83,3.3773574259561246e-07,0.3782019629893345,80.31496062992126,0.4106818874680554,58.333333333333336,3.163139872937804e-07
84,7.35311866276899e-08,0.38131174556358044,80.31496062992126,0.5609708550969029,58.333333333333336,1.0447220879641938e-06
