,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
51,0.0001603058287774741,0.09212460540867186,87.5,0.20919476964398415,70.0,5.8570878345167354e-05
52,0.00012988110073615438,0.08808833525063423,75.0,0.3668661503875462,70.0,9.707495967251146e-05
53,9.750554025488129e-05,0.09146358925031713,87.5,0.5197085451431586,70.0,0.00011745524197694649
54,0.0001540936725321262,0.08991728007950546,81.25,0.20251976202603528,70.0,0.00014214222826916488
55,0.0001234367455013895,0.09059415493851497,87.5,0.20705855831020753,70.0,6.837810535349289e-05
56,6.167678895377064e-05,0.09103423779338132,87.5,0.20873343630226676,70.0,0.00013198667255002853
57,6.994747517161827e-05,0.09233743496185709,87.5,0.52231695477965,70.0,8.227268409210553e-05
58,5.1205171809280204e-05,0.09146362595042543,87.5,0.20368100705224287,70.0,4.8933426305059633e-05
59,0.00012064369339299762,0.09213969236596209,87.5,0.3233240396300764,70.0,4.615549107006658e-05
60,0.00012143007614558462,0.092184729065658,87.5,0.20415058235759104,70.0,7.347574324377418e-05
61,6.477520777499427e-05,0.09266900508870811,87.5,0.21259709111424838,70.0,3.745268131727244e-05
62,9.003987643542305e-05,0.09320164501353752,87.5,0.3251476540539569,70.0,4.589050935704041e-05
63,0.00010573260137553827,0.09250597407879127,87.5,0.21500334566656693,70.0,9.385084768202466e-05
64,4.612733836417887e-05,0.09260102036751762,87.5,0.20897445600958237,70.0,8.56585064987456e-05
65,0.0001052052593598947,0.0952248192492016,87.5,0.3619872948263323,70.0,4.8636109256515754e-05
66,2.084766709197248e-05,0.09283956255057947,87.5,0.5219698575415377,70.0,5.0737130641985605e-05
67,3.3545909292192524e-05,0.09165234959773173,81.25,0.21120024258044984,70.0,3.869863891151393e-05
68,6.048878650689785e-05,0.09287308955044653,81.25,0.20764092229513373,70.0,5.324262684930705e-05
69,3.9294759523115056e-05,0.09528367893653844,87.5,0.2132603114530478,70.0,2.8339115619694104e-05
70,5.753922139048584e-05,0.09586471115860624,87.5,0.21117150980222393,70.0,1.8664771260194937e-05
71,4.298656691334845e-05,0.09318553617449336,81.25,0.5247233996529685,70.0,2.6042670524038517e-05
72,4.192686237092016e-05,0.09358749620386525,81.25,0.6976743390048268,70.0,3.634733058664322e-05
73,1.0846087253238686e-05,0.09572744516911251,87.5,0.6567691403477995,70.0,5.41703307836514e-05
74,6.754861589557264e-05,0.09656673462940153,87.5,0.2111254124045411,70.0,4.759657346571709e-05
75,2.3812764436824413e-05,0.09457878680681087,87.5,0.21305526151180584,70.0,5.219501606903287e-05
