,SZ,SZ,SZ,DEL1q21_1,DEL1q21_1,DEL1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
70,1.2241476554909899e-05,0.3800864777784094,74.21875,0.8253656830726698,70.0,7.934906815822094e-07
71,9.633450589749727e-07,0.38330120932549755,73.4375,0.29883759736471904,70.0,2.5179171995480277e-06
72,4.5286847772399023e-07,0.3860149084971647,74.21875,0.6505763435542196,70.0,5.377644965057139e-06
73,1.8327817559859165e-06,0.38867955962064404,73.4375,0.4061407170605644,70.0,1.637035330977731e-06
74,4.444204853347087e-06,0.39125022795557884,73.4375,0.29947015322128684,70.0,3.7842309873626665e-06
75,4.7530876362466246e-06,0.3935374682351047,73.4375,0.9474487450003017,70.0,3.326153253152318e-06
76,3.887802784432544e-06,0.3964583767403462,71.875,0.29878254319725955,70.0,8.624637763906753e-07
77,2.4648518297235817e-06,0.39847727842530384,72.65625,0.5414211486561131,70.0,2.894178134175024e-07
78,9.934955362327382e-08,0.4008721850799716,72.65625,0.298860691011389,70.0,3.9883751961262105e-06
79,1.579800920877391e-05,0.4032387263979291,71.875,0.8498137253806881,70.0,1.1450941309756123e-06
80,1.2093262989975332e-06,0.4051941630123151,72.65625,0.2997163731138992,70.0,5.445741670761671e-07
81,7.155525364910209e-09,0.4072809086396871,71.875,0.5302349641786099,70.0,1.181836419980845e-06
82,8.126293853738612e-07,0.4094413525602453,71.875,0.39448118189096615,70.0,6.187685472111455e-07
83,5.2261202634722225e-08,0.4114554570795269,71.875,0.8505001518577231,70.0,5.980887767457492e-07
84,2.591408320603006e-06,0.41314998696002836,71.875,0.850926324653323,70.0,4.174799882094631e-07
85,7.385172853437395e-06,0.41500063014194777,71.875,0.9493261496272783,70.0,2.0041595801601744e-07
86,1.2339358490131537e-06,0.41758465525970545,71.875,0.29593505514127505,70.0,1.0216214784093042e-07
87,6.944668451201841e-06,0.4192684341053847,71.875,0.3893255340213163,70.0,6.630427250353486e-07
88,2.4802452837160804e-06,0.420378426958048,71.875,0.29308102372107236,70.0,5.094970947218396e-07
89,1.0048876822366497e-07,0.42291557320101225,71.875,0.8542911010140507,70.0,6.160612035370855e-07
90,3.982510236962157e-07,0.4240588011892817,71.875,0.291682313643748,70.0,2.4827559535453136e-07
91,7.318950190573999e-07,0.425775038753657,71.09375,0.5044636538186398,70.0,1.190955884656865e-06
92,1.3575186368486843e-08,0.4275689109971893,71.875,0.8561003847378652,70.0,8.875058993337491e-07
93,3.78297990418535e-06,0.4292364851464113,71.09375,0.8567800969572529,70.0,6.858966787668134e-08
94,2.6404832591415136e-07,0.43087141049123956,71.09375,0.29145515893534374,70.0,1.066219830245525e-06
95,7.2305455689469775e-06,0.4324298036474756,71.09375,0.28983440747271716,70.0,1.4433845678866176e-06
