,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test
82,1.4375236822852602e-05,1.439289256608572,64.28571428571429,0.6458333333333333,0.5833333432674408,0.75,0.5
83,2.6996087533329442e-05,1.430845297819192,64.28571428571429,0.75,0.5952381044626236,0.75,0.5
84,2.8761273813987473e-05,1.4427257346601274,64.28571428571429,0.6777777777777778,0.5750000029802322,0.75,0.46666668355464935
85,1.5660480562935805e-05,1.4503294506675766,64.28571428571429,0.6458333333333333,0.4000000059604645,0.5,0.3333333432674408
86,2.458263554416107e-05,1.446249973663752,64.28571428571429,0.6875,0.5750000029802322,0.875,0.5
87,6.783475512937633e-06,1.4467566868348052,64.28571428571429,0.5625,0.619047611951828,0.8333333432674408,0.5
88,2.222156590451485e-05,1.447266541505644,64.28571428571429,0.8,0.5750000029802322,0.75,0.46666668355464935
89,1.7240658368300463e-05,1.4563227850826101,64.28571428571429,0.7,0.6190476417541504,0.8333333432674408,0.533333346247673
90,9.204939038433189e-06,1.45929131715213,64.28571428571429,0.6875,0.619047611951828,0.8333333432674408,0.5
91,1.4170142943607266e-05,1.4530405746143715,64.28571428571429,0.7,0.6500000059604645,0.8333333432674408,0.533333346247673
92,9.462956633349786e-06,1.455511097640523,64.28571428571429,0.75,0.5952381044626236,0.75,0.5
93,1.0402229591982685e-05,1.479612587125295,64.28571428571429,0.6875,0.619047611951828,0.8333333432674408,0.5
94,1.4376460222224699e-05,1.4600565620968633,64.28571428571429,0.7444444444444445,0.6190476417541504,0.8333333432674408,0.533333346247673
95,1.1519533219218296e-05,1.4712607594200133,64.28571428571429,0.75,0.5833333432674408,0.75,0.5
96,1.4583885200846608e-05,1.4814426972969863,64.28571428571429,0.6666666666666667,0.4000000059604645,0.5,0.3333333432674408
